Cusip,ISIN,Description,Ticker,Coupon,Maturity,Composite Rating,Currency,Country,Sector Level 1,Sector Level 2,Sector Level 3,Sector Level 4,Type,Face Value,Price,Accrued Interest,% Weight,Cash,Duration To Worst,Yield to Worst,Effective Duration,Effective Yield,OAS vs Govt,Prior Month-End Price,Prior Month-End Accrued Interest,Prior Month-End % Weight,Prior Month-End Duration To Worst,Prior Month-End Yield To Worst,Prior Month-End Effective Duration,Prior Month-End Effective Yield,Prior Month-End OAS vs Govt,TRR % MTD LOC,Excess Rtn % MTD,Asset Swap Spread,Prior Month-End Asset Swap Spread,OAS vs Swap ,Prior Month-End OAS vs Swap
'57701RAJ',US57701RAJ14,Mattamy Group Corp,MATHOM,5.25,12/15/27,BB3,USD,CA,Corporate,Industrials,Basic Industry,Building & Construction,SENR,506.7,105.5,2.58125,0.03622,0,1.855,3.656,3.305,3.774,319,105.75,2.421,0.03659,1.886,3.553,3.217,3.699,313,-0.083,-0.102,290,284,314,306
'577128AA',US577128AA93,Matthews International Corp,MATW,5.25,12/1/25,B2,USD,US,Corporate,Industrials,Capital Goods,Diversified Capital Goods,SENR,304,100.5,0.160417,0.02024,0,2.716,5.066,3.735,5.04,467,97,0,0.01969,4.323,5.953,4.251,5.947,557,3.774,3.725,454,535,462,553
'78472GAA',US78472GAA76,SSL Robotics LLC,MAXR,9.75,12/31/23,B2,USD,US,Corporate,Industrials,Capital Goods,Aerospace/Defense,SECR,861.3,113,4.79375,0.0671,0,0.93,3.683,0.929,3.728,357,113,4.496,0.06756,0.959,3.831,0.958,3.89,371,0.254,0.246,301,316,350,362
'580638AC',US580638AC80,Mcgraw-Hill Global Education Holdings/Mcgraw-Hill Global Finance Inc.,MCGHLL,7.875,5/15/24,CCC1,USD,US,Corporate,Industrials,Services,Support-Services,SENR,405.3,89,0.590625,0.02402,0,2.855,11.872,2.856,11.872,1169,89.271,0.35,0.02425,2.886,11.738,2.887,11.738,1154,-0.034,-0.078,1069,1056,1162,1146
'398545AA',US398545AA16,Grinding Media Inc. and MC Grinding Media (Canada) Inc.,MCGRND,7.375,12/15/23,B3,USD,US,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SECR,886.7,101.875,3.626042,0.06187,0,0.931,5.438,0.624,5.479,533,101.792,3.401,0.06227,0.96,5.572,0.701,5.627,546,0.293,0.285,534,543,526,536
'595017AS',US595017AS32,Microchip Technology Incorporated,MCHP,4.25,9/1/25,BB2,USD,US,Corporate,Industrials,Technology & Electronics,Electronics,SECR,1216,105.4889,1.192361,0.0858,0,1.642,2.197,2.029,2.416,207,104.853,1.062,0.08599,1.669,2.588,2.369,2.745,238,0.723,0.686,187,219,198,229
'65489DAA',US65489DAA28,NMG Finco plc (McLaren),MCLAUT,5.75,8/1/22,CCC3,USD,GB,Corporate,Industrials,Automotive,Automakers,SECR,354.7,95.75,2.092361,0.02295,0,1.488,8.581,1.486,8.581,850,94.625,1.917,0.02286,1.511,9.296,1.509,9.296,920,1.347,1.324,805,864,840,908
'58502BAA',US58502BAA44,Mednax Inc.,MD,5.25,12/1/23,B1,USD,US,Corporate,Industrials,Healthcare,Health Services,SENR,760,101.6721,0.160417,0.05119,0,0.069,0.035,0.071,0.035,0,100.998,0,0.05125,0.967,4.22,0.929,4.27,410,0.826,0.819,-14,398,-14,400
'58502BAC',US58502BAC00,Mednax Inc.,MD,6.25,1/15/27,B1,USD,US,Corporate,Industrials,Healthcare,Health Services,SENR,1013.3,107.371,2.552083,0.07367,0,1.031,3.552,1.471,3.878,339,107,2.361,0.07398,1.059,3.934,1.842,4.168,368,0.514,0.497,275,310,332,360
'552676AQ',US552676AQ11,M.D.C. Holdings Inc.,MDC,6,1/15/43,BB1,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,506.7,131,2.45,0.04472,0,13.17,3.882,13.504,3.883,256,130,2.267,0.04474,13.162,3.941,13.494,3.942,267,0.895,1.545,307,320,271,282
'552676AR',US552676AR93,M.D.C. Holdings Inc.,MDC,5.5,1/15/24,BB1,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,253.3,109.25,2.245833,0.01868,0,2.596,2.129,2.595,2.152,199,108.75,2.078,0.01874,2.623,2.333,2.622,2.357,217,0.603,0.559,196,213,191,208
'552676AT',US552676AT59,M.D.C. Holdings Inc.,MDC,3.85,1/15/30,BB1,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,304,109.5,1.572083,0.02233,0,7.261,2.608,7.52,2.618,186,108.25,1.454,0.02227,7.276,2.768,7.53,2.772,205,1.247,1.473,188,205,184,202
'589433AB',US589433AB71,Meredith Corp,MDP,6.875,2/1/26,CCC1,USD,US,Corporate,Industrials,Media,Printing & Publishing,SENR,1289.5,99,2.501736,0.08657,0,4.155,7.108,3.879,7.072,668,99.375,2.292,0.08753,4.188,7.018,3.845,6.972,658,-0.162,-0.205,651,641,665,654
'589433AC',US589433AC54,Meredith Corp,MDP,6.5,7/1/25,BB3,USD,US,Corporate,Industrials,Media,Printing & Publishing,SECR,304,107.6,2.943056,0.02223,0,1.44,3.483,1.54,3.719,340,106.75,2.744,0.02222,1.466,4.06,1.858,4.26,393,0.958,0.931,294,344,330,382
'552697AQ',US552697AQ73,MDC Partners Inc.,MDZACN,6.5,5/1/24,B3,USD,US,Corporate,Industrials,Media,Advertising,SENR,912,97.928,0.740278,0.05951,0,2.962,7.197,2.936,7.196,701,98.5,0.542,0.0603,2.995,6.999,2.887,6.996,679,-0.377,-0.422,676,656,694,671
'552704AD',US552704AD04,MEG Energy Corporation,MEGCN,6.5,1/15/25,BB3,USD,CA,Corporate,Industrials,Energy,Energy - Exploration & Production,SECR,517.8,102.75,2.654167,0.0361,0,1.894,5.094,1.678,5.258,499,102,2.456,0.03611,1.919,5.485,2.214,5.629,534,0.908,0.871,494,525,489,523
'552704AC',US552704AC21,MEG Energy Corporation,MEGCN,7,3/31/24,B2,USD,CA,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,608,100.748,1.4,0.04108,0,0.76,6.012,0.792,6.092,591,100.5,1.186,0.04128,0.789,6.357,1.028,6.449,625,0.454,0.445,584,612,583,614
'552704AE',US552704AE86,MEG Energy Corporation,MEGCN,7.125,2/1/27,B2,USD,CA,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,1216,102.792,2.592708,0.08475,0,3.464,6.344,4.148,6.405,592,98,2.375,0.08149,4.786,7.533,4.619,7.511,703,4.991,4.982,574,680,589,700
'588056AU',US588056AU50,Mercer International Inc.,MERC,6.5,2/1/24,B1,USD,CA,Corporate,Industrials,Basic Industry,Forestry/Paper,SENR,253.3,101.244,2.365278,0.01736,0,1.061,5.349,1.069,5.399,523,101.25,2.167,0.01749,1.091,5.372,1.105,5.436,525,0.186,0.175,517,516,515,514
'588056AW',US588056AW17,Mercer International Inc.,MERC,5.5,1/15/26,B1,USD,CA,Corporate,Industrials,Basic Industry,Forestry/Paper,SENR,304,101.752,2.245833,0.02091,0,1.919,4.609,2.524,4.767,438,100.25,2.078,0.02077,1.94,5.37,3.304,5.305,491,1.632,1.59,432,480,431,485
'588056AY',US588056AY72,Mercer International Inc.,MERC,7.375,1/15/25,B1,USD,CA,Corporate,Industrials,Basic Industry,Forestry/Paper,SENR,557.1,104,3.011458,0.03943,0,0.09,3.711,0.091,3.874,361,103.375,2.786,0.03948,1.901,5.66,1.508,5.83,555,0.801,0.773,367,552,347,542
'59010QAB',US59010QAB23,Merlin Entertainments Plc,MERLLN,5.75,6/15/26,B3,USD,GB,Corporate,Industrials,Leisure,Recreation & Travel,SENR,405.3,104.894,2.827083,0.02888,0,4.408,4.691,4.509,4.701,427,104.5,2.651,0.02899,4.434,4.779,4.534,4.787,436,0.532,0.497,428,435,425,433
'61978XAA',US61978XAA54,Motion Bondco Designated Activity Company,MERLLN,6.625,11/15/27,CCC3,USD,GB,Corporate,Industrials,Leisure,Recreation & Travel,SENR,415.5,103,0.496875,0.02844,0,3.413,5.758,4.347,5.84,528,100.25,0.294,0.02789,3.423,6.551,4.843,6.466,592,2.936,2.946,517,574,525,589
'559079AK',US559079AK49,Magellan Health Inc,MGLN,4.9,9/22/24,BB1,USD,US,Corporate,Industrials,Healthcare,Managed Care,SENR,405.3,106.0855,1.088889,0.02873,0,3.278,3.105,3.299,3.124,289,105,0.939,0.02867,3.301,3.428,3.33,3.444,319,1.166,1.116,288,316,283,312
'552953CE',US552953CE90,MGM Resorts International,MGM,5.75,6/15/25,BB3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,684,109.75,2.827083,0.05093,0,3.701,3.279,3.73,3.304,299,108.125,2.651,0.05059,3.719,3.685,3.758,3.707,338,1.626,1.575,304,341,295,333
'552953CF',US552953CF65,MGM Resorts International,MGM,5.5,4/15/27,BB3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,684,109.185,0.870833,0.04979,0,5.161,3.797,5.259,3.812,330,107.189,0.703,0.04927,5.173,4.158,5.277,4.168,366,2.006,2.011,338,371,328,364
'552953CG',US552953CG49,MGM Resorts International,MGM,6.75,5/1/25,BB3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,760,107.625,0.76875,0.05448,0,1.317,3.463,1.323,3.677,338,107.438,0.562,0.0548,1.346,3.655,1.373,3.874,356,0.365,0.348,326,346,328,344
'552953BX',US552953BX80,MGM Resorts International,MGM,7.75,3/15/22,BB3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,1013.3,106.625,1.872917,0.07271,0,1.191,2.37,1.187,2.37,228,106.77,1.636,0.07334,1.221,2.381,1.217,2.381,228,0.085,0.071,226,224,219,217
'552953CC',US552953CC35,MGM Resorts International,MGM,6,3/15/23,BB3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,1266.7,106.625,1.45,0.09054,0,2.092,2.944,2.087,2.944,285,106.978,1.267,0.09154,2.123,2.828,2.118,2.828,271,-0.157,-0.195,282,267,275,259
'552953CD',US552953CD18,MGM Resorts International,MGM,4.625,9/1/26,BB3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,405.3,104.25,1.297569,0.02829,0,4.76,3.758,4.889,3.767,331,102.5,1.156,0.02805,4.775,4.112,4.917,4.115,365,1.825,1.801,330,361,329,363
'552953CH',US552953CH22,MGM Resorts International,MGM,4.75,10/15/28,BB3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,760,106,0.778472,0.05367,0,6.332,3.832,6.489,3.833,318,104.003,0.633,0.05309,6.34,4.132,6.497,4.129,350,2.047,2.161,319,347,316,348
'55303XAC',US55303XAC92,MGM Growth Properties Operating Partnership LP/ MGP Escrow Co Issuer Inc.,MGMGPO,5.625,5/1/24,BB3,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,1063.8,108.3425,0.640625,0.07668,0,2.871,2.827,2.876,2.854,266,107.25,0.469,0.07651,2.894,3.2,2.903,3.226,302,1.174,1.127,267,301,259,293
'55303XAB',US55303XAB10,MGM Growth Properties Operating Partnership LP/ MGP Escrow Co Issuer Inc.,MGMGPO,4.5,9/1/26,BB3,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,506.7,106.25,1.2625,0.03603,0,4.794,3.244,4.905,3.258,280,105.5,1.125,0.03607,4.818,3.395,4.929,3.406,295,0.832,0.807,282,296,278,293
'55303XAF',US55303XAF24,MGM Growth Properties Operating Partnership LP/ MGP Escrow Co Issuer Inc.,MGMGPO,4.5,1/15/28,BB3,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,354.6,104,1.8375,0.02482,0,5.77,3.83,5.926,3.831,324,104.25,1.7,0.02508,5.803,3.792,5.95,3.792,321,-0.106,-0.048,322,320,322,320
'55303XAK',US55303XAK19,MGM Growth Properties Operating Partnership LP/ MGP Escrow Co Issuer Inc.,MGMGPO,4.625,6/15/25,BB3,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,810.7,106,2.402431,0.05812,0,3.779,3.111,3.843,3.131,281,105.5,2.261,0.05833,3.805,3.242,3.872,3.26,293,0.595,0.543,281,291,277,288
'55303XAL',US55303XAL91,MGM Growth Properties Operating Partnership LP/ MGP Escrow Co Issuer Inc.,MGMGPO,3.875,2/15/29,BB2,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,760,102.125,0.247569,0.05146,0,6.778,3.563,6.975,3.558,287,101,0.129,0.05131,6.796,3.727,6.989,3.718,305,1.23,1.383,281,298,285,303
'55303XAJ',US55303XAJ46,MGM Growth Properties Operating Partnership LP/ MGP Escrow Co Issuer Inc.,MGMGPO,5.75,2/1/27,BB2,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,759.9,111.5,2.092361,0.05709,0,4.945,3.567,5.023,3.587,309,111.458,1.917,0.05752,4.974,3.584,5.048,3.601,311,0.192,0.184,320,322,307,309
'55305BAQ',US55305BAQ41,M/I Homes Inc.,MHO,5.625,8/1/25,BB3,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,253.3,103.75,2.046875,0.01772,0,0.611,3.997,1.402,4.137,380,104,1.875,0.01791,0.642,3.693,1.075,3.931,359,-0.074,-0.085,379,356,372,347
'55305BAS',US55305BAS07,M/I Homes Inc.,MHO,4.95,2/1/28,BB3,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,404.1,105.87,1.80125,0.02878,0,4.458,3.684,4.04,3.627,303,105.25,1.65,0.02884,4.483,3.82,4.298,3.787,321,0.721,0.722,289,308,299,316
'59748TAA',US59748TAA79,Midland Cogeneration Venture L.P.,MIDCOG,6,3/15/25,BB3,USD,US,Corporate,Utility,Utility,Electric-Generation,SECR,275.8,102.7472,1.45,0.01901,0,2.145,4.74,2.143,4.74,456,102.724,1.267,0.01915,2.174,4.765,2.172,4.765,457,0.198,0.166,452,451,449,449
'59565XAC',US59565XAC48,Midcontinent Communications/Midcontinent Communications Finance Corp,MIDCON,5.375,8/15/27,B3,USD,US,Corporate,Industrials,Media,Cable & Satellite TV,SENR,354.7,104.25,1.746875,0.02487,0,3.238,4.104,3.309,4.181,363,104.625,1.583,0.02515,3.27,4.005,3.136,4.066,353,-0.198,-0.217,338,328,358,346
'594087AU',US594087AU28,Michaels Stores Inc.,MIK,8,7/15/27,B3,USD,US,Corporate,Industrials,Retail,Specialty Retail,SENR,506.7,107.25,3.266667,0.03704,0,1.445,5.607,2.42,5.821,530,103,3.022,0.03587,3.026,7.043,3.866,7.149,664,4.239,4.218,477,635,523,659
'594087AV',US594087AV01,Michaels Stores Inc.,MIK,4.75,10/1/27,B1,USD,US,Corporate,Industrials,Retail,Specialty Retail,SECR,380,102.25,0.936805,0.02593,0,4.229,4.226,4.963,4.223,366,100,0.792,0.02557,4.242,4.749,5.311,4.677,412,2.376,2.392,356,399,364,410
'603051AA',US603051AA15,Mineral Resources Ltd,MINAU,8.125,5/1/27,BB3,USD,AU,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,709.3,111,0.925347,0.05251,0,1.306,4.185,1.451,4.606,410,110.405,0.677,0.0526,1.332,4.657,1.689,5.027,453,0.759,0.741,406,454,401,442
'553283AC',US553283AC69,MPH Acquisition Holdings LLC,MLTPLN,5.75,11/1/28,B3,USD,US,Corporate,Industrials,Healthcare,Managed Care,SENR,1317.3,99,0.686805,0.08685,0,6.215,5.909,5.777,5.827,518,97.938,0.511,0.08658,6.23,6.081,5.865,6.018,539,1.258,1.334,496,519,516,537
'573334AH',US573334AH20,Martin Midstream Partners LP / Martin Midstream Finance Corp,MMLP,11.5,2/28/25,CCC1,USD,US,Corporate,Industrials,Energy,Gas Distribution,SECR,295.9,96,3.833333,0.01954,0,3.11,12.746,3.121,12.747,1244,94,3.482,0.01926,3.119,13.387,3.13,13.389,1307,2.412,2.369,1192,1236,1239,1301
'615394AM',US615394AM52,Moog Inc.,MOGA,4.25,12/15/27,BB3,USD,US,Corporate,Industrials,Capital Goods,Aerospace/Defense,SENR,506.7,102.75,2.089583,0.03513,0,4.4,3.644,4.822,3.631,304,103.035,1.96,0.03552,4.432,3.586,4.756,3.571,300,-0.148,-0.139,289,284,302,297
'60855RAH',US60855RAH30,Molina Healthcare Inc.,MOH,4.875,6/15/25,BB3,USD,US,Corporate,Industrials,Healthcare,Managed Care,SENR,334.4,102.438,2.247917,0.02315,0,0,0,0,0,0,102.451,2.248,0.02337,0.003,0.152,0.003,0.152,0,-0.012,-0.017,0,-4,0,0
'60855RAJ',US60855RAJ95,Molina Healthcare Inc.,MOH,4.375,6/15/28,BB3,USD,US,Corporate,Industrials,Healthcare,Managed Care,SENR,810.7,104.75,2.309028,0.0574,0,3.175,3.229,4.231,3.223,259,105,2.175,0.05801,2.349,3.145,4.151,3.158,255,-0.109,-0.106,240,236,255,249
'60855RAK',US60855RAK68,Molina Healthcare Inc.,MOH,3.875,11/15/30,BB3,USD,US,Corporate,Industrials,Healthcare,Managed Care,SENR,658.7,105.5,0.269097,0.04608,0,8.062,3.21,8.266,3.209,240,105.5,0.151,0.04646,8.091,3.211,8.282,3.209,244,0.112,0.444,237,241,237,240
'60855RAG',US60855RAG56,Molina Healthcare Inc.,MOH,5.375,11/15/22,BB3,USD,US,Corporate,Industrials,Healthcare,Managed Care,SENR,709.3,105.4075,0.403125,0.04964,0,1.602,2.074,1.6,2.077,199,105.25,0.239,0.04995,1.631,2.222,1.628,2.228,212,0.305,0.279,191,203,189,200
'608328BF',US608328BF64,MOHEGAN TRIBAL GAMING AUTH CONN,MOHEGN,7.875,10/15/24,CCC3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,506.7,99.75,0,0.03343,0,3.221,7.947,2.691,7.895,766,99,0,0.03349,3.245,8.177,2.986,8.162,791,0.758,0.713,748,768,759,784
'14985VAE',US14985VAE11,CCM Merger Inc. (Motor City),MOTOR,6.375,5/1/26,B3,USD,US,Corporate,Industrials,Leisure,Gaming,SENR,278.7,105,0.672917,0.01948,0,3.409,4.943,3.344,5.018,461,104.51,0.478,0.01954,3.435,5.089,3.555,5.167,475,0.652,0.61,456,471,456,470
'62426EAA',US62426EAA38,Mountain Province Diamonds Inc,MPVDCN,8,12/15/22,CCC3,USD,CA,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SECR,303.9,84,3.933333,0.01767,0,1.652,17.822,1.65,17.822,1775,85.125,3.689,0.01802,1.689,16.921,1.687,16.921,1683,-0.991,-1.023,1558,1488,1764,1671
'55342UAH',US55342UAH77,MPT Operating Partnership LP / MPT Finance Corporation,MPW,5,10/15/27,BB1,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,1418.7,105.76,0.791667,0.09998,0,1.746,3.086,2.775,3.358,279,105.881,0.639,0.10089,1.776,3.05,2.73,3.325,277,0.03,0.008,266,264,272,268
'55342UAJ',US55342UAJ34,MPT Operating Partnership LP / MPT Finance Corporation,MPW,4.625,8/1/29,BB1,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,912,106.096,1.682986,0.06501,0,4.106,3.423,5.301,3.394,268,106.632,1.542,0.06587,3.324,3.288,5.169,3.288,260,-0.365,-0.32,259,252,265,256
'55342UAE',US55342UAE47,MPT Operating Partnership LP / MPT Finance Corporation,MPW,5.5,5/1/24,BB1,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,304,101.9385,0.626389,0.02062,0,0.019,0.072,0.019,0.072,0,102.101,0.458,0.02082,0.05,0.135,0.049,0.135,0,0.005,0.001,-12,-9,-12,-9
'55342UAF',US55342UAF12,MPT Operating Partnership LP / MPT Finance Corporation,MPW,6.375,3/1/24,BB1,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,506.7,103.3104,1.788542,0.03522,0,0.019,0.076,0.019,0.076,0,103.5,1.594,0.03555,0.05,0.134,0.049,0.134,0,0.005,0.001,-13,-10,-12,-10
'55342UAG',US55342UAG94,MPT Operating Partnership LP / MPT Finance Corporation,MPW,5.25,8/1/26,BB1,USD,US,Corporate,Industrials,Real Estate,REITs,SENR,506.7,104,1.910417,0.03549,0,0.615,2.968,0.692,3.327,288,104.52,1.75,0.03595,0.647,2.304,0.646,2.658,221,-0.338,-0.342,193,151,278,208
'55354GAF',US55354GAF72,MSCI Inc.,MSCI,5.375,5/15/27,BB2,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SENR,506.7,107.199,0.403125,0.03606,0,1.371,2.528,1.655,2.939,241,107.125,0.239,0.03632,1.4,2.631,1.71,3.023,250,0.222,0.204,233,243,233,239
'55354GAK',US55354GAK67,MSCI Inc.,MSCI,3.625,9/1/30,BB2,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SENR,405.3,104.438,1.017014,0.02827,0,3.866,2.906,6.44,2.782,198,104,0.906,0.02839,5.533,3.006,6.483,2.853,209,0.523,0.674,190,200,195,205
'55354GAL',US55354GAL41,MSCI Inc.,MSCI,3.875,2/15/31,BB2,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SENR,1013.3,105,0.118403,0.07045,0,4.091,3.077,6.683,2.969,214,105.625,0,0.07146,4.125,2.937,6.538,2.861,208,-0.48,-0.327,208,203,211,204
'55354GAD',US55354GAD25,MSCI Inc.,MSCI,4.75,8/1/26,BB2,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SENR,506.7,103.375,1.728472,0.03522,0,0.615,3.072,1.146,3.388,294,103.75,1.583,0.03563,0.647,2.59,0.739,2.946,249,-0.218,-0.223,292,171,286,237
'55354GAH',US55354GAH39,MSCI Inc.,MSCI,4,11/15/29,BB2,USD,US,Corporate,Financial,Financial Services,Investments & Misc Financial Services,SENR,1013.3,106.5,0.3,0.07157,0,3.623,2.728,5.618,2.756,201,107.037,0.178,0.07253,3.656,2.599,5.477,2.653,194,-0.387,-0.324,198,191,198,190
'61965RAA',US61965RAA32,Moss Creek Resources Holdings Inc,MSSCRK,7.5,1/15/26,CCC1,USD,US,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,709.3,76.5,3.0625,0.03732,0,3.768,14.121,3.782,14.121,1375,68,2.833,0.03354,3.671,17.122,3.683,17.122,1674,12.323,12.283,1156,1318,1372,1671
'61965RAB',US61965RAB15,Moss Creek Resources Holdings Inc,MSSCRK,10.5,5/15/27,CCC1,USD,US,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,506.7,80,0.7875,0.02707,0,4.245,15.523,4.263,15.523,1506,69.5,0.467,0.02367,4.07,18.861,4.084,18.861,1841,15.466,15.466,1291,1453,1503,1838
'57665RAG',US57665RAG11,Match Group Holdings II LLC,MTCHII,5,12/15/27,BB3,USD,US,Corporate,Industrials,Media,Advertising,SENR,456,105.5,2.458333,0.03256,0,1.863,3.359,3.191,3.541,296,105.75,2.306,0.0329,1.894,3.257,3.091,3.464,289,-0.09,-0.108,267,260,290,282
'57665RAJ',US57665RAJ59,Match Group Holdings II LLC,MTCHII,5.625,2/15/29,BB3,USD,US,Corporate,Industrials,Media,Advertising,SENR,354.7,108.75,1.828125,0.02594,0,2.867,3.531,4.208,3.749,307,109,1.656,0.0262,2.898,3.469,4.13,3.681,303,-0.071,-0.066,300,296,303,298
'57665RAN',US57665RAN61,Match Group Holdings II LLC,MTCHII,4.625,6/1/28,BB3,USD,US,Corporate,Industrials,Media,Advertising,SENR,506.7,104.5,0.141319,0.03507,0,4.023,3.528,4.376,3.536,291,105,0,0.03552,3.224,3.411,4.215,3.41,280,-0.342,-0.34,285,275,287,275
'57665RAL',US57665RAL06,Match Group Holdings II LLC,MTCHII,4.125,8/1/30,BB3,USD,US,Corporate,Industrials,Media,Advertising,SENR,506.7,103,1.501042,0.03502,0,6.252,3.658,6.651,3.546,276,104.13,1.375,0.03569,6.294,3.488,6.455,3.36,261,-0.952,-0.803,264,251,273,257
'576485AE',US576485AE64,Matador Resources Company,MTDR,5.875,9/15/26,B3,USD,US,Corporate,Industrials,Energy,Energy - Exploration & Production,SENR,1064,93.438,1.419792,0.06675,0,4.693,7.288,4.716,7.288,683,85.25,1.24,0.06144,4.629,9.216,4.65,9.216,876,9.675,9.657,644,784,682,874
'552848AG',US552848AG81,MGIC Investment Corp.,MTG,5.25,8/15/28,BB1,USD,US,Corporate,Financial,Insurance,Monoline Insurance,SENR,658.7,106.5,1.75,0.04716,0,2.453,3.62,4.059,3.719,307,106.625,1.59,0.04759,2.484,3.589,4.021,3.685,306,0.033,0.029,295,294,303,301
'59001AAY',US59001AAY82,MERITAGE HOMES CORP,MTH,6,6/1/25,BB2,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,405.3,113.345,0.183333,0.03043,0,3.764,2.638,3.77,2.665,235,113.75,0,0.03078,3.796,2.566,3.802,2.59,226,-0.195,-0.247,245,235,231,222
'59001ABA',US59001ABA97,MERITAGE HOMES CORP,MTH,5.125,6/6/27,BB2,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,304,111.5,0.085417,0.02244,2.5625,5.194,3.01,5.334,3.045,251,111,2.491,0.02303,5.102,3.106,5.236,3.135,261,0.579,0.581,260,268,250,259
'59001AAQ',US59001AAQ58,MERITAGE HOMES CORP,MTH,7,4/1/22,BB2,USD,US,Corporate,Industrials,Basic Industry,Building & Construction,SENR,304,106,1.380556,0.02159,0,1.24,2.295,1.238,2.295,220,106.5,1.167,0.02185,1.272,2.031,1.269,2.031,193,-0.266,-0.28,217,187,211,181
'91879QAL',US91879QAL32,Vail Resorts Inc.,MTN,6.25,5/15/25,B1,USD,US,Corporate,Industrials,Leisure,Recreation & Travel,SENR,608,107.38,0.46875,0.04337,0,1.361,3.077,1.371,3.298,299,107,0.278,0.04355,1.389,3.392,1.448,3.617,330,0.532,0.514,292,324,290,318
'03938LBA',US03938LBA17,ArcelorMittal S.A.,MTNA,4.55,3/11/26,BB1,USD,LU,Corporate,Industrials,Basic Industry,Steel Producers/Products,SENR,760,110.9586,1.150139,0.05635,0,4.657,2.319,4.673,2.319,191,109.657,1.011,0.05615,4.677,2.58,4.692,2.58,217,1.301,1.26,197,222,189,214
'03938LBB',US03938LBB99,ArcelorMittal S.A.,MTNA,3.6,7/16/24,BB1,USD,LU,Corporate,Industrials,Basic Industry,Steel Producers/Products,SENR,760,105.7435,1.46,0.05389,0,3.332,1.938,3.335,1.938,172,106.4,1.35,0.05467,3.366,1.769,3.368,1.769,153,-0.508,-0.558,169,150,166,147
'03938LBC',US03938LBC72,ArcelorMittal S.A.,MTNA,4.25,7/16/29,BB1,USD,LU,Corporate,Industrials,Basic Industry,Steel Producers/Products,SENR,506.7,111.4154,1.723611,0.03791,0,7.161,2.749,7.228,2.749,203,109.865,1.594,0.03771,7.173,2.946,7.231,2.946,226,1.507,1.702,208,230,201,223
'03938LAP',US03938LAP94,ArcelorMittal S.A.,MTNA,7.25,10/15/39,BB1,USD,LU,Corporate,Industrials,Basic Industry,Steel Producers/Products,SENR,694.8,136.356,1.147917,0.06319,0,11.43,4.392,11.598,4.392,321,132.627,0.926,0.06195,11.344,4.636,11.5,4.636,351,2.958,3.493,384,413,329,359
'03938LAS',US03938LAS34,ArcelorMittal S.A.,MTNA,7,3/1/41,BB1,USD,LU,Corporate,Industrials,Basic Industry,Steel Producers/Products,SENR,440.2,134.488,1.963889,0.03973,0,11.945,4.405,12.131,4.405,317,130.436,1.75,0.03885,11.834,4.661,12.008,4.661,349,3.227,3.797,380,409,328,359
'03938LAZ',US03938LAZ76,ArcelorMittal S.A.,MTNA,6.125,6/1/25,BB1,USD,LU,Corporate,Industrials,Basic Industry,Steel Producers/Products,SENR,260.3,117.0296,0.187153,0.02018,0,3.973,2.112,3.982,2.112,180,117.541,0,0.02043,4.006,2.027,4.015,2.027,170,-0.276,-0.328,190,179,176,166
